Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/10/07 20:00:00,12092.415855885594,0.0,34752.24613261862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12092.415855885594,12092.415855885594,0.0,13436.01761765066,0.0,12092.415855885594,13436.01761765066
2019/10/07 21:00:00,11015.296692557902,0.0,36253.878821863276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11015.296692557902,11015.296692557902,0.0,12239.218547286553,0.0,11015.296692557902,12239.218547286553
2019/10/07 22:00:00,8674.178979859338,0.0,31718.36899698877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8674.178979859338,8674.178979859338,0.0,9637.976644288156,0.0,8674.178979859338,9637.976644288156
2019/10/07 23:00:00,5658.5154367115965,0.0,26497.457811467983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5658.5154367115965,5658.5154367115965,0.0,6287.239374123996,0.0,5658.5154367115965,6287.239374123996
2019/10/08 00:00:00,4074.1242109844625,0.0,19803.533473745825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4074.1242109844625,4074.1242109844625,0.0,4526.804678871626,0.0,4074.1242109844625,4526.804678871626
2019/10/08 01:00:00,3070.3015474581903,0.0,5092.279358410402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070.3015474581903,3070.3015474581903,0.0,3411.446163842434,0.0,3070.3015474581903,3411.446163842434
2019/10/08 02:00:00,3561.138830903138,0.0,8434.723574499363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.138830903138,3561.138830903138,0.0,3956.8209232257095,0.0,3561.138830903138,3956.8209232257095
2019/10/08 03:00:00,3059.8444460661317,0.0,5792.4494246728855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059.8444460661317,3059.8444460661317,0.0,3399.8271622957013,0.0,3059.8444460661317,3399.8271622957013
2019/10/08 04:00:00,4087.862513918143,0.0,10327.70196301793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4087.862513918143,4087.862513918143,0.0,4542.069459909048,0.0,4087.862513918143,4542.069459909048
2019/10/08 05:00:00,5030.088099920454,0.0,9597.607786405686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5030.088099920454,5030.088099920454,0.0,5588.9867776893925,0.0,5030.088099920454,5588.9867776893925
